"Player","Pos","School","Weight","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle","Drafted","height_total_in","PositionGroup"
"Mike Hughes","CB","Central Florida",191,4.53,35.5,20,127,6.7,4.13,"1",71,"DB"
"Mike McCray","ILB","Michigan",243,4.76,31.5,16,119,7.09,4.25,"0",76,"LB"
"Nick Chubb","RB","Georgia",227,4.52,38.5,29,128,7.09,4.25,"1",71,"RB"
"Nick Deluca","OLB","North Dakota State",251,4.85,29.5,18,112,7.09,4.23,"0",75,"LB"
"Nick Gates","OT","Nebraska",307,5.46,24,20,94,7.61,4.68,"0",77,"OLINE"
"Oren Burks","OLB","Vanderbilt",233,4.59,39.5,18,131,6.82,4.15,"1",75,"LB"
"Orlando Brown","OT","Oklahoma",345,5.85,19.5,14,82,7.87,5.38,"1",80,"OLINE"
"Peter Kalambayi","EDGE","Stanford",252,4.57,34,19,121,7.13,4.36,"1",75,"DLINE"
"Quadree Henderson","WR","Pittsburgh",192,4.5,32.5,12,120,6.89,4.28,"0",68,"WR"
"Rashaan Gaulden","CB","Tennessee",193,4.61,30,8,119,7.16,4.33,"1",73,"DB"
"Richie James","WR","Middle Tennessee State",183,4.48,35.5,6,122,6.87,4.16,"1",70,"WR"
"Royce Freeman","RB","Oregon",229,4.54,34,17,118,6.9,4.16,"1",71,"RB"
"Ryan Izzo","TE","Florida State",256,4.94,33,18,110,7.15,4.43,"1",77,"TE"
"Ryan Nall","RB","Oregon State",232,4.58,33,15,122,6.95,4.16,"0",74,"RB"
"Sam Jones","OG","Arizona State",305,5.32,27,28,101,7.92,4.86,"1",77,"OLINE"
"Scott Quessenberry","C","UCLA",310,5.09,33.5,25,111,7.5,4.69,"1",76,"OLINE"
"Sean Welsh","C","Iowa",306,5.43,25,20,103,7.9,4.81,"0",75,"OLINE"
"Simmie Cobbs","WR","Indiana",220,4.64,30,11,113,6.7,4.32,"0",75,"WR"
"Siran Neal","S","Jacksonville State",199,4.56,40.5,17,122,7,4.28,"1",72,"DB"
"Steven Mitchell","WR","USC",189,4.56,32.5,13,121,6.75,4.4,"0",70,"WR"
"Tanner Carew","LS","Oregon",243,5,30,18,111,7.26,4.28,"0",73,"LS"
"Taron Johnson","CB","Weber State",180,4.5,33,17,118,7.03,4.28,"1",72,"DB"
"Taven Bryan","DT","Florida",291,4.98,35,30,119,7.12,4.48,"1",76,"DLINE"
"Taylor Hearn","OG","Clemson",320,5.45,24,18,96,7.84,4.8,"0",76,"OLINE"
"Taylor Stallworth","DT","South Carolina",312,5.28,23.5,18,101,7.95,4.75,"0",74,"DLINE"
"Toby Weathersby","OT","LSU",317,5.34,24.5,28,106,8.55,5.38,"0",76,"OLINE"
"Tony Brown","CB","Alabama",198,4.35,31.5,14,126,6.78,4.11,"0",72,"DB"
"Trequan Smith","WR","Central Florida",203,4.49,37.5,12,130,6.97,4.5,"0",74,"WR"
"Trevon Young","EDGE","Louisville",258,4.78,33,25,114,6.99,4.4,"1",76,"DLINE"
"Trey Quinn","WR","SMU",203,4.55,33.5,17,116,6.91,4.19,"1",71,"WR"
"Trey Walker","S","Louisiana-Lafayette",200,4.51,33,14,119,7,4.28,"0",74,"DB"
"Troy Apke","S","Penn State",198,4.34,41,16,131,6.56,4.03,"1",74,"DB"
"Tyler Conklin","TE","Central Michigan",254,4.8,38,18,120,7.13,4.23,"1",75,"TE"
"Tyrell Crosby","OT","Oregon",309,5.23,30,17,105,7.89,4.77,"1",77,"OLINE"
"Will Clapp","C","LSU",311,5.39,29,25,97,8.04,4.92,"1",76,"OLINE"
"Will Dissly","TE","Washington",262,4.87,28,15,111,7.07,4.4,"1",76,"TE"
"Will Hernandez","OG","Texas-El Paso",327,5.15,24,37,104,7.59,4.7,"1",74,"OLINE"
"Wyatt Teller","OG","Virginia Tech",314,5.24,29,30,114,7.45,4.84,"1",76,"OLINE"
"Zaycoven Henderson","DT","Texas A&M",298,5.16,29.5,20,105,7.33,4.58,"0",72,"DLINE"
"Albert Huggins","DL","Clemson",305,5.12,25.5,35,101,7.84,4.84,"0",75,"DLINE"
"Alec Ingold","FB","Wisconsin",242,4.89,34,16,116,7.35,4.32,"0",73,"RB"
"Alex Barnes","RB","Kansas State",226,4.59,38.5,34,126,6.95,4.1,"0",72,"RB"
"Alex Wesley","WR","Northern Colorado",190,4.45,38.5,13,125,7.4,4.44,"0",72,"WR"
"Alexander Mattison","RB","Boise State",221,4.67,35,22,127,7.13,4.29,"1",71,"RB"
"Alijah Holder","CB","Stanford",191,4.6,36,9,121,6.7,4.15,"0",73,"DB"
"Alize Mack","TE","Notre Dame",249,4.7,36,22,120,7.27,4.34,"1",76,"TE"
"Amani Hooker","S","Iowa",210,4.48,37,14,123,6.81,4.1,"1",71,"DB"
"Amani Oruwariye","CB","Penn State",205,4.47,36.5,17,120,6.82,4.16,"1",74,"DB"
"Andre Dillard","OT","Washington State",315,4.96,29,24,118,7.44,4.4,"1",77,"OLINE"
"Andre James","OT","UCLA",299,5.32,29,21,105,8,4.84,"0",76,"OLINE"
"Andrew Wingard","S","Wyoming",209,4.56,36.5,9,121,7.08,4.2,"0",72,"DB"
"Andy Isabella","WR","Massachusetts",188,4.31,36.5,15,121,6.95,4.15,"1",69,"WR"
"Anthony Nelson","DL","Iowa",271,4.82,35.5,18,118,6.95,4.23,"1",79,"DLINE"
"Ashton Dulin","WR","Malone University (Ohio)",215,4.43,38,13,121,7,4.22,"0",73,"WR"
"Ben Banogu","EDGE","TCU",250,4.62,40,23,134,7.02,4.27,"1",75,"DLINE"
"Ben Burr-Kirven","LB","Washington",230,4.56,34.5,21,121,6.85,4.09,"1",72,"LB"
"Benny Snell","RB","Kentucky",224,4.66,29.5,16,119,7.07,4.33,"1",70,"RB"
"Bisi Johnson","WR","Colorado State",204,4.51,38,14,124,6.88,4.16,"1",72,"WR"
"Blake Cashman","LB","Minnesota",237,4.5,37.5,18,124,6.95,4.12,"1",73,"LB"
"Cece Jefferson","EDGE","Florida",266,5.02,30.5,17,108,7.5,4.53,"0",73,"DLINE"
"Chase Winovich","EDGE","Michigan",256,4.59,30.5,18,116,6.94,4.11,"1",75,"DLINE"
"Chauncey Gardner-Johnson","S","Florida",210,4.48,36,17,117,7.03,4.2,"1",71,"DB"
"Chris Lindstrom","OL","Boston Col.",308,4.91,30.5,25,117,7.61,4.54,"1",76,"OLINE"
"Cody Barton","LB","Utah",237,4.64,32.5,30,116,6.9,4.03,"1",74,"LB"
"Cody Ford","OT","Oklahoma",329,5.21,28.5,19,104,8.27,4.87,"1",76,"OLINE"
"Cody Thompson","WR","Toledo",205,4.57,38.5,19,119,6.87,4.03,"0",73,"WR"
"Corey Ballentine","CB","Washburn",196,4.47,39.5,15,135,6.82,4.14,"1",71,"DB"
"D.K. Metcalf","WR","Mississippi",228,4.33,40.5,27,134,7.38,4.5,"1",75,"WR"
"Dakota Allen","LB","Texas Tech",232,4.77,31.5,23,116,6.88,4.04,"1",73,"LB"
