"Player","Pos","School","Weight","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle","Drafted","height_total_in","PositionGroup"
"D.J. Wonnum","DL","South Carolina",258,4.73,34.5,20,123,7.25,4.44,"1",77,"DLINE"
"Dalton Keene","TE","Virginia Tech",253,4.71,34,21,125,7.07,4.19,"1",76,"TE"
"Danny Pinter","OL","Ball State",306,4.91,29.5,24,110,7.76,4.62,"1",76,"OLINE"
"Dante Olson","LB","Montana",237,4.88,42,15,124,7,4.32,"0",74,"LB"
"Darrion Daniels","DL","Nebraska",311,5.18,27,21,109,7.75,4.93,"0",75,"DLINE"
"Darryl Williams","OL","Mississippi State",304,5.23,25.5,23,102,7.88,4.76,"0",74,"OLINE"
"David Woodward","LB","Utah State",230,4.79,33.5,16,114,7.34,4.37,"0",74,"LB"
"Davion Taylor","LB","Colorado",228,4.49,35,21,127,6.96,4.26,"1",72,"LB"
"Denzel Mims","WR","Baylor",207,4.38,38.5,16,131,6.66,4.43,"1",75,"WR"
"Derrek Tuszka","DL","North Dakota State",251,4.79,33.5,24,120,6.87,4.34,"1",76,"DLINE"
"Derrick Brown","DL","Auburn",326,5.16,27,28,108,8.22,4.79,"1",77,"DLINE"
"Dezmon Patmon","WR","Washington State",225,4.48,36,15,132,7.28,4.38,"1",76,"WR"
"Eno Benjamin","RB","Arizona State",207,4.57,39,12,122,6.97,4.25,"1",69,"RB"
"Essang Bassey","CB","Wake Forest",191,4.46,39.5,12,128,6.95,4.13,"0",69,"DB"
"Evan Weaver","LB","California",237,4.76,32,15,117,7.02,4.21,"1",74,"LB"
"Ezra Cleveland","OL","Boise State",311,4.93,30,30,111,7.26,4.46,"1",78,"OLINE"
"Freddie Swain","WR","Florida",197,4.46,36.5,16,124,7.05,4.26,"1",72,"WR"
"Gabriel Davis","WR","UCF",216,4.54,35,14,124,7.08,4.59,"1",74,"WR"
"Grayland Arnold","CB","Baylor",186,4.59,33,12,120,7.01,4.3,"0",69,"DB"
"Harrison Bryant","TE","Florida Atlantic",243,4.73,32.5,13,110,7.41,4.37,"1",77,"TE"
"Harrison Hand","CB","Temple",197,4.52,41,14,133,7.15,4.27,"1",71,"DB"
"Hunter Bryant","TE","Washington",248,4.74,32.5,23,115,7.08,4.46,"0",74,"TE"
"Isaiah Hodgins","WR","Oregon State",210,4.61,36.5,9,124,7.01,4.12,"1",76,"WR"
"Isaiah Wilson","OL","Georgia",350,5.32,29,26,110,8.26,5.07,"1",78,"OLINE"
"J.J. Taylor","RB","Arizona",185,4.61,34.5,19,118,7,4.15,"0",65,"RB"
"Jalen Elliott","S","Notre Dame",205,4.8,34,15,125,6.87,4.3,"0",72,"DB"
"Jalen Reagor","WR","TCU",206,4.47,42,17,138,7.31,4.46,"1",71,"WR"
"James Lynch","DL","Baylor",289,5.01,29,23,111,7.39,4.39,"1",76,"DLINE"
"James Robinson","RB","Illinois State",219,4.64,40,24,125,7.03,4.19,"0",69,"RB"
"James Smith-Williams","DL","North Carolina State",265,4.6,32,28,123,7.35,4.52,"1",76,"DLINE"
"Jason Strowbridge","DL","North Carolina",275,4.89,31,26,113,7.45,4.37,"1",76,"DLINE"
"Jaylon Johnson","CB","Utah",193,4.5,36.5,15,124,7.01,4.13,"1",72,"DB"
"Joe Bachie","LB","Michigan State",230,4.67,33.5,26,119,6.93,4.34,"0",73,"LB"
"John Molchon","OL","Boise State",309,5.13,34,26,109,7.85,4.73,"0",77,"OLINE"
"John Reid","CB","Penn State",187,4.49,36.5,20,129,6.95,3.97,"1",70,"DB"
"John Simpson","OL","Clemson",321,5.24,30,34,107,8.03,4.87,"1",76,"OLINE"
"Jon Runyan","OL","Michigan",306,5.08,30.5,24,107,7.57,4.69,"1",76,"OLINE"
"Jonah Jackson","OL","Ohio State",306,5.23,26,28,98,7.83,5.02,"1",75,"OLINE"
"Jonathan Greenard","DL","Florida",263,4.87,30.5,22,113,7.13,4.34,"1",75,"DLINE"
"Jonathan Taylor","RB","Wisconsin",226,4.39,36,17,123,7.01,4.24,"1",70,"RB"
"Josh Metellus","S","Michigan",209,4.55,36.5,20,124,6.94,4.4,"1",71,"DB"
"Joshua Kelley","RB","UCLA",212,4.49,31,23,121,6.95,4.28,"1",71,"RB"
"Josiah Coatney","DL","Mississippi",308,5.21,27,22,99,8.07,4.82,"0",75,"DLINE"
"Josiah Deguara","TE","Cincinnati",242,4.72,35.5,25,115,7.15,4.35,"1",74,"TE"
"Justin Herron","OL","Wake Forest",308,5.26,33,27,105,8.41,4.88,"1",76,"OLINE"
"Juwan Johnson","WR","Oregon",230,4.58,33,14,124,6.94,4.37,"0",76,"WR"
"K'Von Wallace","S","Clemson",206,4.53,38,18,133,6.76,4.15,"1",71,"DB"
"K.J. Osborn","WR","Miami",203,4.48,37.5,18,123,7,4.35,"1",71,"WR"
"Kendrick Rogers","WR","Texas A&M",208,4.51,35.5,17,124,7.13,4.48,"0",76,"WR"
"Kindle Vildor","CB","Georgia Southern",191,4.44,39.5,22,133,7.14,4.28,"1",70,"DB"
"Kyle Murphy","OL","Rhode Island",316,5.3,28,19,104,7.81,4.68,"0",75,"OLINE"
"La'Mical Perine","RB","Florida",216,4.62,35,22,118,7.13,4.31,"1",71,"RB"
"LaDarius Hamilton","DL","North Texas",262,4.89,30,27,114,7.66,4.49,"0",74,"DLINE"
"Larrell Murchison","DL","North Carolina State",297,5.05,29,29,118,7.89,4.51,"1",74,"DLINE"
"Logan Wilson","LB","Wyoming",241,4.63,32,21,121,7.07,4.27,"1",74,"LB"
"Malcolm Perry","WR","Navy",186,4.63,36,10,122,7.12,4.31,"1",69,"WR"
"Matt Hennessy","OL","Temple",307,5.18,30,23,110,7.45,4.6,"1",76,"OLINE"
"Matt Peart","OL","Connecticut",318,5.06,30,26,113,8.01,4.92,"1",79,"OLINE"
"Michael Pittman","WR","USC",223,4.52,36.5,13,121,6.96,4.14,"1",76,"WR"
"Mykal Walker","LB","Fresno State",230,4.65,33,20,122,7.09,4.25,"1",75,"LB"
"Omar Bayless","WR","Arkansas State",212,4.62,36,11,123,7.35,4.5,"0",73,"WR"
"Quintez Cephus","WR","Wisconsin",202,4.73,38.5,23,124,7.2,4.33,"1",73,"WR"
"Raekwon Davis","DL","Alabama",311,5.12,28,24,111,7.95,4.86,"1",78,"DLINE"
"Raequan Williams","DL","Michigan State",308,5.04,25.5,17,101,7.72,4.78,"0",76,"DLINE"
"Reggie Robinson II","CB","Tulsa",205,4.44,36,22,132,7.09,4.18,"1",73,"DB"
"Rob Windsor","DL","Penn State",290,4.9,28.5,21,111,7.47,4.44,"1",76,"DLINE"
"Scoota Harris","LB","Arkansas",234,4.69,33,18,111,7.38,4.32,"0",72,"LB"
"Scottie Phillips","RB","Mississippi",209,4.56,30,29,114,7.4,4.53,"0",68,"RB"
"Shaun Bradley","LB","Temple",235,4.51,32.5,14,121,7.07,4.24,"1",73,"LB"
"Tony Brown","WR","Colorado",198,4.65,33.5,14,119,7.21,4.27,"0",73,"WR"
"Tony Jones","RB","Notre Dame",220,4.68,32.5,13,119,7.18,4.21,"0",70,"RB"
"Tristan Wirfs","OL","Iowa",320,4.85,36.5,24,121,7.65,4.68,"1",77,"OLINE"
"Troy Pride","CB","Notre Dame",193,4.4,35.5,13,119,6.94,4.26,"1",71,"DB"
"Tyre Phillips","OL","Mississippi State",331,5.37,25,22,93,8.17,5.11,"1",77,"OLINE"
"Willie Gay Jr.","LB","Mississippi State",243,4.46,39.5,21,136,7.08,4.3,"1",73,"LB"
"Zack Baun","LB","Wisconsin",238,4.65,32.5,24,115,7,4.31,"1",74,"LB"
"AJ Parker","DB","Kansas St.",182,4.53,33.5,10,117,7.02,4.37,"0",71,"DB"
"Aaron Banks","OL","Notre Dame",325,5.32,31,24,100,7.69,4.89,"1",77,"OLINE"
"Aaron Robinson","DB","Central Florida",186,4.39,37,15,123,6.89,4.29,"1",71,"DB"
"Adam Bay","LS","Wisconsin",240,5.27,26,14,100,7.65,4.56,"0",71,"LS"
"Adam Krumholz","WR","Wisconsin",193,4.6,35.5,11,118,7.03,4.28,"0",72,"WR"
"Adetokunbo Ogundeji","DL","Notre Dame",260,4.75,32,22,120,7.17,4.64,"1",76,"DLINE"
"Adrian Ealy","OL","Oklahoma",321,5.42,24.5,18,104,8.82,4.87,"0",78,"OLINE"
"Adrian Hardy","WR","Louisiana Tech",205,4.61,37.5,12,124,6.96,4.5,"0",73,"WR"
"Alijah Vera-Tucker","OL","USC",308,5.05,32,36,106,7.67,4.7,"1",76,"OLINE"
"Amari Rodgers","WR","Clemson",212,4.52,33,19,121,7.07,4.31,"1",69,"WR"
"Amen Ogbongbemiga","LB","Oklahoma St.",231,4.66,32,24,112,7.32,4.28,"0",72,"LB"
"Amon-Ra St. Brown","WR","USC",197,4.51,38.5,20,127,6.88,4.17,"1",71,"WR"
"Antonio Nunn","WR","Buffalo",204,4.5,33.5,15,120,7.12,4.32,"0",71,"WR"
"Ar'Darius Washington","S","TCU",178,4.61,37.5,17,127,7.06,4.1,"0",67,"DB"
"Asante Samuel Jr.","DB","Florida St.",180,4.45,35,12,124,6.95,4.13,"0",70,"DB"
"Asim Rose","RB","Kentucky",215,4.51,34,24,120,7.25,4.62,"0",73,"RB"
"Avery Williams","CB","Boise St.",187,4.43,33.5,19,121,6.88,4,"1",68,"DB"
"Azeez Ojulari","OLB","Georgia",249,4.63,30,26,127,7.27,4.34,"1",74,"LB"
"Bailey Gaither","WR","San Jose St.",188,4.45,31,9,121,7.07,4.39,"0",72,"WR"
"Baron Browning","LB","Ohio St.",245,4.58,40,23,130,6.78,4.23,"1",74,"LB"
"Ben Knutson","OL","Tulane",301,5.27,24,12,99,8.01,4.85,"0",79,"OLINE"
"Ben Mason","TE","Michigan",246,4.73,37.5,29,117,6.96,4.42,"0",74,"TE"
"Benjamin St-Juste","DB","Minnesota",202,4.51,34.5,11,119,6.63,3.96,"1",75,"DB"
"Blake Gallagher","LB","Northwestern",228,4.83,31.5,27,107,7.23,4.4,"0",71,"LB"
"Blake Proehl","WR","East Carolina",186,4.47,36,12,126,7,4.06,"0",73,"WR"
"Brady Breeze","S","Oregon",197,4.55,38,20,120,7.05,4.22,"1",71,"DB"
"Branden Mack","WR","Temple",217,4.66,31,11,115,7.13,4.37,"0",77,"WR"
"Brandin Echols","DB","Kentucky",179,4.34,42.5,13,136,6.84,4.12,"0",70,"DB"
"Brenden Knox","RB","Marshall",215,4.67,35,23,112,7.19,4.39,"0",70,"RB"
"Brendon White","DB","Rutgers",215,4.66,34.5,19,112,6.82,4.33,"0",73,"DB"
"Brett Heggie","OL","Florida",310,5.5,26,21,105,7.66,4.69,"0",76,"OLINE"
"Briley Moore","TE","Kansas St.",240,4.66,37.5,26,123,7.24,4.37,"0",76,"TE"
"Brock Wright","TE","Notre Dame",257,4.62,31.5,26,118,7.27,4.25,"0",76,"TE"
"Bruno Labelle","TE","Cincinnati",247,4.73,36,19,123,7.36,4.43,"0",76,"TE"
"Bryce Hargrove","OL","Pittsburgh",310,5.46,27,26,97,8.06,5.03,"0",75,"OLINE"
"Bryson Denley","RB","Bowling Green",189,4.56,27.5,13,110,7.25,4.57,"0",67,"RB"
"CJ Marable","RB","Coastal Carolina",195,4.59,36,17,116,7.25,4.39,"0",66,"RB"
"Caden Sterns","DB","Texas",202,4.41,42,14,128,6.96,4.13,"1",71,"DB"
"Calvin Ashley","OL","Florida A&M",314,5.49,29,15,105,7,5.1,"0",78,"OLINE"
"Calvin Bundage","LB","Oklahoma St.",221,4.81,31.5,14,116,7.31,4.43,"0",73,"LB"
"Cameron Kinley","CB","Navy",197,4.52,33,10,116,7.06,4.25,"0",72,"DB"
"Cameron Sample","DE","Tulane",267,4.72,37,23,116,7.39,4.48,"0",74,"DLINE"
"Carlos Basham","DL","Wake Forest",274,4.64,34,20,122,7.13,4.25,"1",75,"DLINE"
"Chase Behrndt","OL","West Virginia",324,5.55,24.5,25,101,8.21,4.93,"0",75,"OLINE"
"Chris Brown","DB","Texas",191,4.55,36,15,118,6.85,4.18,"0",70,"DB"
"Chris Evans","RB","Michigan",211,4.5,40.5,20,127,6.83,4.12,"1",71,"RB"
"Chuba Hubbard","RB","Oklahoma St.",210,4.48,36,20,120,7.24,4.26,"1",72,"RB"
"Cole Banwart","OL","Iowa",298,5.12,27.5,22,103,7.5,4.7,"0",73,"OLINE"
"Cole Van Lanen","OL","Wisconsin",305,5.11,30,22,107,7.34,4.64,"1",76,"OLINE"
"Connor Wedington","WR","Stanford",196,4.47,38.5,13,117,6.66,4.07,"0",72,"WR"
"Corey Dauphine","RB","Tulane",198,4.71,30,14,117,7.4,4.53,"0",71,"RB"
"Corey Straughter","CB","La-Monroe",184,4.62,35,11,117,7.37,4.58,"0",70,"DB"
"Cornell Powell","WR","Clemson",204,4.53,36.5,16,128,7.03,4.21,"1",72,"WR"
"Creed Humphrey","OL","Oklahoma",302,5.11,33,29,112,7.5,4.49,"1",76,"OLINE"
"Curtis Robinson","LB","Stanford",236,4.6,37.5,22,117,7,4.26,"0",75,"LB"
"D'Ante Smith","OL","East Carolina",305,5.29,29,24,113,7.96,4.81,"0",77,"OLINE"
"DAnte Smith","LB","Arizona",305,5.29,29,24,113,7.96,4.81,"0",77,"LB"
"DJ Daniel","DB","Georgia",195,4.62,31,11,119,7.02,4.12,"0",71,"DB"
"Daelin Hayes","DL","Notre Dame",253,4.71,32.5,26,119,7.17,4.29,"1",75,"DLINE"
"Damar Hamlin","DB","Pittsburgh",200,4.6,35,18,118,6.93,4.4,"1",72,"DB"
"Damonte Coxie","WR","Memphis",198,4.77,30.5,4,122,6.92,4.45,"0",74,"WR"
"Dan Archibong","DT","Temple",295,5.35,28.5,28,100,8.16,4.68,"0",77,"DLINE"
"Daniel Crawford","TE","Northern Illinois",245,4.7,32.5,14,113,7.19,4.45,"0",73,"TE"
"Darius Harper","OL","Cincinnati",300,5.05,30.5,16,105,7.7,4.54,"0",78,"OLINE"
"Darius Hodge","DL","Marshall",248,4.73,38.5,26,127,7.16,4.67,"0",72,"DLINE"
"Darius Stills","DL","West Virginia",278,4.98,32.5,23,110,7.18,4.49,"0",72,"DLINE"
"Darren Hall","CB","San Diego St.",188,4.47,38.5,16,132,7.07,4.28,"1",71,"DB"
"Darrick Forrest","S","Cincinnati",206,4.42,39,21,132,6.91,4.23,"1",71,"DB"
"Dazz Newsome","WR","North Carolina",190,4.59,34,12,121,7.38,4.38,"1",70,"WR"
"DeVontres Dukes","WR","South Florida",216,4.81,33,16,122,7.07,4.41,"0",75,"WR"
"Dedrick Mills","RB","Nebraska",217,4.65,32.5,13,117,7.06,4.35,"0",69,"RB"
"Deommodore Lenoir","CB","Oregon",199,4.48,34.5,15,121,7.02,4.35,"1",70,"DB"
"Deon Jackson","RB","Duke",218,4.41,36,18,123,7.15,4.37,"0",71,"RB"
"Devon Key","DB","Western Kentucky",208,4.56,38,20,123,7.13,4.15,"0",71,"DB"
"Devon Wharton","DE","Western Kentucky",215,5.1,30.5,4,115,8.12,4.7,"0",74,"DLINE"
"Dicaprio Bootle","CB","Nebraska",180,4.38,36.5,16,126,6.77,4.03,"0",69,"DB"
"Dillon Faamatau","DL","Oklahoma",280,5.35,24.5,22,100,8.58,5.15,"0",75,"DLINE"
"Dillon Radunz","OT","North Dakota St.",301,5.16,32,24,112,7.27,4.57,"1",77,"OLINE"
"Dillon Stoner","WR","Oklahoma St.",194,4.51,37,16,123,6.96,4.13,"0",72,"WR"
"Dionte Ruffin","DB","Western Kentucky",180,4.54,36.5,8,127,7.05,4.27,"0",70,"DB"
"Divine Deablo","DB","Virginia Tech",226,4.42,34,19,126,7.12,4.4,"1",75,"DB"
"Donovan Stiner","DB","Florida",205,4.56,34.5,15,127,7.08,4.3,"0",73,"DB"
"Drew Dalman","C","Stanford",299,5.11,33,33,109,7.33,4.52,"1",75,"OLINE"
"Drew Wiley","DT","Kansas St.",294,5.24,34,24,112,7.34,4.45,"0",76,"DLINE"
"Dyami Brown","WR","North Carolina",189,4.46,35,18,128,6.87,4.35,"1",72,"WR"
"Earnest Brown","DE","Northwestern",270,5.01,31,25,115,7.19,4.5,"0",76,"DLINE"
"Eli Stove","WR","Auburn",194,4.54,30.5,14,119,7.34,4.4,"0",71,"WR"
"Elijah Mitchell","RB","Louisiana",201,4.38,37.5,17,128,6.94,4.19,"1",70,"RB"
"Elijah Ponder","DT","Cincinnati",268,5.06,30,27,101,7.45,4.53,"0",73,"DLINE"
"Eric Burrell","S","Wisconsin",197,4.73,35.5,8,124,7.21,4.26,"0",71,"DB"
"Eric Stokes","DB","Georgia",194,4.31,38.5,14,128,6.96,4.36,"1",72,"DB"
"Ethan Tucky","LB","Cincinnati",231,4.62,31.5,21,115,7.08,4.3,"0",73,"LB"
"Evan Tyler","S","Boise St.",199,4.58,33,13,117,7.14,4.32,"0",73,"DB"
"Forrest Merrill","DL","Arkansas St.",322,5.27,26.5,36,101,8.24,4.81,"0",72,"DLINE"
"Foster Sarell","OL","Stanford",318,5.54,27,26,97,7.63,4.69,"0",78,"OLINE"
"Frank Darby","WR","Arizona St.",201,4.56,34.5,19,117,7.05,4.25,"1",72,"WR"
"Garrett Groshek","RB","Wisconsin",217,4.64,33.5,17,115,7.08,4.32,"0",71,"RB"
"Gary Brightwell","RB","Arizona",218,4.62,34.5,17,118,7.51,4.48,"1",70,"RB"
"Gerrid Doaks","RB","Cincinnati",228,4.58,39.5,19,120,7.2,4.27,"0",71,"RB"
"Greg Newsome","DB","Northwestern",192,4.39,40,18,123,6.9,4.26,"1",72,"DB"
"Gunnar Vogel","OL","Northwestern",306,5.47,26,23,105,7.67,4.92,"0",78,"OLINE"
"Hamilcar Rashed","OLB","Oregon St.",251,4.58,35.5,25,128,7.51,4.44,"0",74,"LB"
"Harry Crider","OL","Indiana",307,5.25,27,31,102,7.63,4.68,"0",74,"OLINE"
"Hunter Kampmoyer","TE","Oregon",243,4.83,31,21,113,7.28,4.54,"0",76,"TE"
"Ifeatu Melifonwu","DB","Syracuse",205,4.48,41.5,16,134,7.01,4.34,"1",74,"DB"
"Isaiah Dunn","DB","Oregon St.",189,4.39,35.5,13,127,6.93,4.21,"0",71,"DB"
"Isaiah McKoy","WR","Kent St.",200,4.68,29.5,12,114,7.09,4.36,"0",74,"WR"
"Isaiahh Loudermilk","DE","Wisconsin",274,5.08,28.5,21,112,7.52,4.55,"1",78,"DLINE"
"Israel Tucker","RB","Louisiana Tech",194,4.6,38.5,20,123,7.25,4.52,"0",67,"RB"
"J.C. Chalk","TE","Clemson",250,5.18,28.5,15,106,7.83,4.72,"0",74,"TE"
"JR Pace","DB","Northwestern",205,4.72,35.5,12,120,6.94,4.24,"0",73,"DB"
"Jack Anderson","OL","Texas Tech",314,5.28,29.5,27,105,7.9,4.83,"1",76,"OLINE"
"Jack Stoll","TE","Nebraska",247,4.6,31.5,16,119,6.86,4.32,"0",75,"TE"
"Jacob Harris","WR","Central Florida",219,4.39,40.5,15,133,6.54,4.31,"0",77,"WR"
"Jacob Shoemaker","OL","South Alabama",319,5.49,24,20,93,8.2,5.02,"0",75,"OLINE"
"Jake Burton","OL","Baylor",303,5.49,26,22,100,8.22,4.97,"0",77,"OLINE"
"Jake Curhan","OL","California",316,5.45,24,15,102,8.07,4.84,"0",77,"OLINE"
"Jake Funk","RB","Maryland",204,4.49,38,22,122,6.71,4.12,"1",70,"RB"
"Jake Hausmann","TE","Ohio St.",242,4.98,29.5,16,112,7.65,4.44,"0",76,"TE"
"Jalen Camp","WR","Georgia Tech",226,4.48,39.5,29,125,7,4.14,"0",73,"WR"
"Jamal Jones","RB","Arkansas St.",198,4.67,28,23,112,7.39,4.65,"0",66,"RB"
"Jamar Johnson","DB","Indiana",205,4.58,35,17,122,7.22,4.41,"1",74,"DB"
"James Hudson","OL","Cincinnati",313,5.27,28.5,22,98,8.05,4.79,"1",76,"OLINE"
"Jamien Sherwood","DB","Auburn",216,4.76,36,15,123,7.15,4.36,"1",73,"DB"
"Jarell White","LB","Cincinnati",202,4.58,35,22,125,7.21,4.35,"0",68,"LB"
"Jaret Patterson","RB","Buffalo",195,4.59,30,19,117,7.03,4.35,"0",66,"RB"
"Jason Pinnock","DB","Pittsburgh",204,4.49,39.5,15,128,6.9,4.1,"0",72,"DB"
"Javonte Williams","RB","North Carolina",212,4.55,36,22,123,6.97,4.09,"1",69,"RB"
"Jay Tufele","DL","USC",305,5,30,30,105,7.8,4.88,"1",74,"DLINE"
"Jaylen Harris","WR","Ohio St.",170,4.77,30.5,8,109,7.37,4.5,"0",68,"WR"
"Jaylon McClain-Sapp","DB","Marshall",183,4.49,41,14,125,7.21,4.46,"0",69,"DB"
"Jaylon Moore","OT","West. Michigan",311,5.25,30,27,106,7.77,4.67,"0",76,"OLINE"
"Jayson Oweh","DE","Penn St.",257,4.36,39.5,21,134,6.83,4.21,"1",77,"DLINE"
"Jaytlin Askew","DB","Georgia Tech",180,4.51,35.5,18,125,7.1,4.31,"0",68,"DB"
"Jeremiah Littles","DL","South Alabama",278,5.15,26,17,98,7.9,4.87,"0",72,"DLINE"
"Jermar Jefferson","RB","Oregon St.",206,4.57,31,13,115,7.38,4.38,"1",70,"RB"
"Jerome Johnson","DL","Indiana",296,5.12,27.5,21,113,7.7,4.66,"0",74,"DLINE"
"Jerry Jacobs","DB","Arkansas",208,4.53,34.5,20,120,6.95,4.33,"0",70,"DB"
"Jimmy Morrissey","OL","Pittsburgh",303,5.31,31,26,105,7.39,4.47,"1",75,"OLINE"
"Joe Tryon","OLB","Washington",259,4.69,35,22,116,7.18,4.36,"1",77,"LB"
"John Bates","TE","Boise St.",250,4.84,31.5,19,120,6.85,4.35,"0",77,"TE"
"John Raine","TE","Northwestern",231,5.05,31,15,107,7.32,4.54,"0",73,"TE"
"Jon Dietzen","OL","Wisconsin",312,5.32,27,19,106,7.64,4.85,"0",76,"OLINE"
"Jon Rhattigan","LB","Army",236,4.77,32,22,111,7.41,4.3,"0",72,"LB"
"Jonathon Cooper","DE","Ohio St.",253,4.69,33,28,108,6.99,4.31,"1",74,"DLINE"
"Jordan Meredith","OL","Western Kentucky",302,5.11,32,25,109,7.41,4.62,"0",74,"OLINE"
"Jordyn Peters","DB","Auburn",202,4.7,39.5,7,124,7.14,4.47,"0",72,"DB"
"Josh Ball","OL","Marshall",308,5.2,27.5,28,106,7.77,4.7,"1",79,"OLINE"
"Josh Blancato","WR","Georgia Tech",182,4.55,32,17,124,6.9,4.31,"0",69,"WR"
"Josh Imatorbhebhe","WR","Illinois",218,4.53,46.5,24,134,7.1,4.38,"0",72,"WR"
"Josh Johnson","RB","La-Monroe",209,4.61,35.5,22,115,7.16,4.4,"0",68,"RB"
"Josh Pederson","TE","La-Monroe",234,4.81,28.5,19,110,7.31,4.43,"0",76,"TE"
"Josiah Bronson","DL","Washington",304,5.08,30,27,101,7.63,4.72,"0",74,"DLINE"
"Jovan Swann","DL","Indiana",291,4.9,30.5,34,109,7.74,4.75,"0",74,"DLINE"
"Justin Henderson","RB","Louisiana Tech",220,4.65,32,26,118,7.22,4.59,"0",67,"RB"
"Justin Hilliard","LB","Ohio St.",229,4.81,34.5,27,114,7.2,4.34,"0",72,"LB"
"Justin Hughes","LB","Kansas St.",227,5.02,28.5,24,104,7.37,4.84,"0",72,"LB"
"K.J. Britt","LB","Auburn",235,4.76,32.5,24,118,7.38,4.4,"1",72,"LB"
"K.J. Sails","DB","South Florida",177,4.67,32.5,9,114,7.08,4.44,"0",70,"DB"
"Kadarius Toney","WR","Florida",193,4.39,39.5,9,136,6.88,4.25,"1",71,"WR"
"Kawaan Baker","WR","South Alabama",210,4.44,39.5,21,129,7.42,4.41,"0",72,"WR"
"Kayode Awosika","OL","Buffalo",307,5.19,30,28,100,8.15,4.91,"0",75,"OLINE"
"Keith Taylor","DB","Washington",187,4.54,33.5,12,127,6.85,4.26,"1",74,"DB"
"Kendrick Green","OL","Illinois",305,4.89,35.5,25,119,7.79,4.67,"1",73,"OLINE"
"Kevin Thomson","QB","Washington",198,4.75,35.5,21,126,6.98,4.23,"0",72,"QB"
"Khalil Herbert","RB","Virginia Tech",210,4.46,33,22,115,6.96,4.31,"1",68,"RB"
"Khalil McClain","WR","Troy",214,4.7,32,15,114,7.72,4.5,"0",74,"WR"
"Kiondre Thomas","DB","Kansas St.",186,4.44,37.5,10,122,6.94,4.35,"0",71,"DB"
"Kyle Pitts","TE","Florida",245,4.44,33.5,22,129,7.12,4.3,"1",77,"TE"
"Kyle Poland","LS","West Virginia",237,4.97,32.5,12,111,7.47,4.5,"0",73,"LS"
"Kylin Hill","RB","Mississippi St.",214,4.51,36,22,122,7.13,4.35,"1",70,"RB"
"Lamont Wade","S","Penn St.",190,4.47,35.5,16,118,7.14,4.34,"0",69,"DB"
"Landon Young","OT","Kentucky",310,5,30.5,34,108,7.7,4.89,"1",78,"OLINE"
"Lorenzo Burns","CB","Arizona",183,4.56,33.5,14,123,7.55,4.51,"0",70,"DB"
"Luke Farrell","TE","Ohio St.",251,4.79,36.5,22,118,7.14,4.36,"1",77,"TE"
"Mac McCain","DB","North Carolina A&T",186,4.45,35.5,13,123,6.94,4.12,"0",71,"DB"
"Mallory Claybourne","CB","Coastal Carolina",191,4.57,33,12,116,7.37,4.32,"0",69,"DB"
"Marco Wilson","CB","Florida",191,4.37,43.5,26,136,6.8,4.13,"1",71,"DB"
"Mark Gilbert","CB","Duke",186,4.47,36,13,130,7.05,4.37,"0",72,"DB"
"Marvin Wilson","DT","Florida St.",303,5.12,25.5,23,107,7.64,4.91,"0",75,"DLINE"
"Mason Stokke","FB","Wisconsin",242,4.96,30.5,22,112,7.2,4.34,"0",74,"RB"
"Matt Farniok","OL","Nebraska",311,5.2,33,28,105,7.14,4.8,"0",77,"OLINE"
"Micah Parsons","LB","Penn St.",246,4.39,34,19,126,6.89,4.4,"1",75,"LB"
"Michael Boykin","DL","Louisville",291,4.88,32,24,110,7.69,4.58,"0",77,"DLINE"
"Michael Carter","RB","North Carolina",201,4.5,34,16,119,6.81,3.98,"1",67,"RB"
"Milo Eifler","LB","Illinois",228,4.58,37.5,14,126,7.15,4.35,"0",74,"LB"
"Milton Williams","DL","Louisiana Tech",284,4.67,38.5,34,121,6.96,4.33,"1",75,"DLINE"
"Nahshon Wright","DB","Oregon St.",183,4.46,31,6,126,7.24,4.57,"1",76,"DB"
"Nate Hobbs","DB","Illinois",196,4.48,40.5,17,135,6.85,4.17,"0",71,"DB"
"Nick Oelrich","DB","Florida",203,4.68,33.5,13,117,7.28,4.4,"0",72,"DB"
"Nick Pickett","S","Oregon",201,4.65,35.5,18,119,7.4,4.43,"0",72,"DB"
"Nico Collins","WR","Michigan",215,4.43,37.5,14,125,6.78,4.29,"1",76,"WR"
"Noah Gray","TE","Duke",240,4.55,35,15,115,6.83,4.37,"1",75,"TE"
"Noah Hannon","OL","Appalachian St.",238,5.15,29.5,15,108,7.37,4.68,"0",72,"OLINE"
"Otis Anderson","RB","Central Florida",179,4.63,36,11,113,7.04,4.38,"0",67,"RB"
"Paddy Fisher","LB","Northwestern",240,4.91,31.5,20,110,7,4.47,"0",75,"LB"
"Parker Ferguson","OT","Air Force",306,5.19,31,24,105,7.75,4.9,"0",75,"OLINE"
"Patrick Johnson","DE","Tulane",240,4.59,35,16,119,6.97,4.41,"1",78,"DLINE"
"Paulson Adebo","CB","Stanford",198,4.45,36.5,18,121,6.69,4.13,"1",73,"DB"
"Penei Sewell","OL","Oregon",331,5.13,28,30,109,7.76,4.68,"1",76,"OLINE"
"Pete Werner","LB","Ohio St.",238,4.58,39.5,20,122,6.95,4.38,"1",74,"LB"
"Phil Hoskins","DT","Kentucky",313,5.23,30.5,20,103,7.87,4.85,"0",76,"DLINE"
